filename	card	card_theme	category	prompt
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow	not listening to your inner voice 
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow	fearing or doubting the future 
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow	remaining psychologically stuck 
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow	having a blind naiveté (immaturity or foolishness) which allows others to take advantage of you
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow	refusing to try the new 
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow	lacking playfulness (being too solemn)
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow	rigidity 
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow Gifts	having an openness to divine guidance based on trust 
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow Gifts	being willing to take a leap of faith into the unknown 
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow Gifts	having a belief that the universe will provide you with what you 
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow Gifts	need at the time you need it 
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow Gifts	psychological growth 
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow Gifts	having spontaneity and a sense of playfulness 
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow Gifts	listening to your inner child 
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow Gifts	willing to take risks and try something new without knowing the 
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow Gifts	outcome because you trust the process 
thefool.jpeg	The Fool	Mistrust versus Trust 	The Fool's Shadow Gifts	abandoning old ways of thinking 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow	not applying your energy and efforts in the right direction  
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow	being scattered  
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow	lacking focus and not focusing on the real issue 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow	pessimism 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow	using trickery or deceit to accomplish goals 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow	indirectness 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow	abusing power for selfish gain 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow	starting many projects and not being able to complete them due to lack of motivation 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow	at the worst, the shadow of the Magician is dishonest about motives and can be destructive in relationships 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow Gifts	being able to prioritize and make a choice 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow Gifts	taking action on your own behalf, rather than simply wishing for change or success 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow Gifts	knowing there is always more to a situation than meets the eye 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow Gifts	being able to focus your energy effectively to accomplish your goals 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow Gifts	creating order out of chaos 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow Gifts	being able to make your own reality by using a surge of creative energy 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow Gifts	the ability to visualize your goals clearly 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow Gifts	being aware of the inner guide 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow Gifts	seeing your own potential and being able to visualize the work required to manifest it 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow Gifts	the ability to plan and carry out those plans 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow Gifts	working to make your goals real 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow Gifts	being practical, energetic, insightful, spiricual, and emotionally mature—all at the same time 
themagician.jpeg	The Magician	Lack of Focus Versus Focus 	The Magician's Shadow Gifts	discovering the creator within 
thehighpriestess.jpeg	The High Priestess	Superficiality Versus Intuition 	The High Priestess' Shadow	being too literal or intellectual  
thehighpriestess.jpeg	The High Priestess	Superficiality Versus Intuition 	The High Priestess' Shadow	an inability to trust intuition  
thehighpriestess.jpeg	The High Priestess	Superficiality Versus Intuition 	The High Priestess' Shadow	not looking below the surface 
thehighpriestess.jpeg	The High Priestess	Superficiality Versus Intuition 	The High Priestess' Shadow	being unwilling to explore the unconscious 
thehighpriestess.jpeg	The High Priestess	Superficiality Versus Intuition 	The High Priestess' Shadow	an inability to acknowledge the masculine/feminine aspect of the personality 
thehighpriestess.jpeg	The High Priestess	Superficiality Versus Intuition 	The High Priestess' Shadow	being vague or so caught up in your intuitive nature that you have difficulty living in the real, day-to-day world 
thehighpriestess.jpeg	The High Priestess	Superficiality Versus Intuition 	The High Priestess' Shadow	disliking women 
thehighpriestess.jpeg	The High Priestess	Superficiality Versus Intuition 	The High Priestess' Shadow	secretive behavior 
thehighpriestess.jpeg	The High Priestess	Superficiality Versus Intuition 	The High Priestess' Shadow	rejection of all things esoteric  
thehighpriestess.jpeg	The High Priestess	Superficiality Versus Intuition 	The High Priestess' Shadow	superficiality 
thehighpriestess.jpeg	The High Priestess	Superficiality Versus Intuition 	The High Priestess' Shadow Gifts	having complete faith in your intuition 
thehighpriestess.jpeg	The High Priestess	Superficiality Versus Intuition 	The High Priestess' Shadow Gifts	making logical decisions based on your intuition 
thehighpriestess.jpeg	The High Priestess	Superficiality Versus Intuition 	The High Priestess' Shadow Gifts	involvement with a group of women 
thehighpriestess.jpeg	The High Priestess	Superficiality Versus Intuition 	The High Priestess' Shadow Gifts	exploring the unconscious 
thehighpriestess.jpeg	The High Priestess	Superficiality Versus Intuition 	The High Priestess' Shadow Gifts	seeking hidden knowledge through dreams, images, feelings, art, tarot, or astrology 
thehighpriestess.jpeg	The High Priestess	Superficiality Versus Intuition 	The High Priestess' Shadow Gifts	seeking a counselor to help you explore things unseen 
thehighpriestess.jpeg	The High Priestess	Superficiality Versus Intuition 	The High Priestess' Shadow Gifts	balancing the intellect and intuition 
theempress.jpeg	The Empress	Smothering Versus Mothering 	The Empress' Shadow	being a controlling, powerful woman  
theempress.jpeg	The Empress	Smothering Versus Mothering 	The Empress' Shadow	the archetype of the Wicked Stepmother  
theempress.jpeg	The Empress	Smothering Versus Mothering 	The Empress' Shadow	focused on others so much that self-nurturance is neglected 
theempress.jpeg	The Empress	Smothering Versus Mothering 	The Empress' Shadow	smothering others with a “love” that stifles individuality 
theempress.jpeg	The Empress	Smothering Versus Mothering 	The Empress' Shadow	being unable to let go of relationships 
theempress.jpeg	The Empress	Smothering Versus Mothering 	The Empress' Shadow	emotional neediness 
theempress.jpeg	The Empress	Smothering Versus Mothering 	The Empress' Shadow	dwelling on the pains of the past 
theempress.jpeg	The Empress	Smothering Versus Mothering 	The Empress' Shadow	not allowing for the opinions of others 
theempress.jpeg	The Empress	Smothering Versus Mothering 	The Empress' Shadow	feeling emotionally barren 
theempress.jpeg	The Empress	Smothering Versus Mothering 	The Empress' Shadow	destroying rather than creating 
theempress.jpeg	The Empress	Smothering Versus Mothering 	The Empress' Shadow	holding on to destructive situations 
theempress.jpeg	The Empress	Smothering Versus Mothering 	The Empress' Shadow Gifts	the archetype of the Great Mother 
theempress.jpeg	The Empress	Smothering Versus Mothering 	The Empress' Shadow Gifts	now is the time to establish yourself in relationship to others 
theempress.jpeg	The Empress	Smothering Versus Mothering 	The Empress' Shadow Gifts	she is the part of you who knows how to create what you need 
theempress.jpeg	The Empress	Smothering Versus Mothering 	The Empress' Shadow Gifts	a time to nourish yourself as well as others 
theempress.jpeg	The Empress	Smothering Versus Mothering 	The Empress' Shadow Gifts	the creator within 
theempress.jpeg	The Empress	Smothering Versus Mothering 	The Empress' Shadow Gifts	a time to heal family relationships 
theempress.jpeg	The Empress	Smothering Versus Mothering 	The Empress' Shadow Gifts	fertility of mind, body, or emotions 
theempress.jpeg	The Empress	Smothering Versus Mothering 	The Empress' Shadow Gifts	letting go of the need to control 
theempress.jpeg	The Empress	Smothering Versus Mothering 	The Empress' Shadow Gifts	creating rather than destroying 
theempress.jpeg	The Empress	Smothering Versus Mothering 	The Empress' Shadow Gifts	a time to get in touch with your body and sensuality 
theempress.jpeg	The Empress	Smothering Versus Mothering 	The Empress' Shadow Gifts	nurturing individuality 
theempress.jpeg	The Empress	Smothering Versus Mothering 	The Empress' Shadow Gifts	allowing others their own truths 
theemperor.jpeg	The Emperor	Rigidity Versus Stability 	The Emperor's Shadow	being disenchanted with life 
theemperor.jpeg	The Emperor	Rigidity Versus Stability 	The Emperor's Shadow	out of touch with feelings, lacking a sense of wonder or adventure 
theemperor.jpeg	The Emperor	Rigidity Versus Stability 	The Emperor's Shadow	intellect without imagination 
theemperor.jpeg	The Emperor	Rigidity Versus Stability 	The Emperor's Shadow	controlling others aggressively 
theemperor.jpeg	The Emperor	Rigidity Versus Stability 	The Emperor's Shadow	depending on others to control your behavior 
theemperor.jpeg	The Emperor	Rigidity Versus Stability 	The Emperor's Shadow	difficulty making decisions 
theemperor.jpeg	The Emperor	Rigidity Versus Stability 	The Emperor's Shadow	confusing authority with domination 
theemperor.jpeg	The Emperor	Rigidity Versus Stability 	The Emperor's Shadow	becoming angry when someone disagrees with you or challenges your authority 
theemperor.jpeg	The Emperor	Rigidity Versus Stability 	The Emperor's Shadow	exercising extreme self-control or none at all 
theemperor.jpeg	The Emperor	Rigidity Versus Stability 	The Emperor's Shadow	controlling father figure 
theemperor.jpeg	The Emperor	Rigidity Versus Stability 	The Emperor's Shadow	unreceptive to others 
theemperor.jpeg	The Emperor	Rigidity Versus Stability 	The Emperor's Shadow	stubbornness 
theemperor.jpeg	The Emperor	Rigidity Versus Stability 	The Emperor's Shadow Gifts	placing mind over matter 
theemperor.jpeg	The Emperor	Rigidity Versus Stability 	The Emperor's Shadow Gifts	being a respected authority figure 
theemperor.jpeg	The Emperor	Rigidity Versus Stability 	The Emperor's Shadow Gifts	building something real and solid 
theemperor.jpeg	The Emperor	Rigidity Versus Stability 	The Emperor's Shadow Gifts	energetic, imaginative, and assertive 
theemperor.jpeg	The Emperor	Rigidity Versus Stability 	The Emperor's Shadow Gifts	having the life force to strive and succeed 
theemperor.jpeg	The Emperor	Rigidity Versus Stability 	The Emperor's Shadow Gifts	having a clear-eyed view of reality 
theemperor.jpeg	The Emperor	Rigidity Versus Stability 	The Emperor's Shadow Gifts	giving form and structure to your life 
theemperor.jpeg	The Emperor	Rigidity Versus Stability 	The Emperor's Shadow Gifts	having a concrete idea or plan, with well-deserved power 
theemperor.jpeg	The Emperor	Rigidity Versus Stability 	The Emperor's Shadow Gifts	being outwardly directed 
theemperor.jpeg	The Emperor	Rigidity Versus Stability 	The Emperor's Shadow Gifts	accepting responsibility for your actions 
theemperor.jpeg	The Emperor	Rigidity Versus Stability 	The Emperor's Shadow Gifts	using logic to solve problems 
theemperor.jpeg	The Emperor	Rigidity Versus Stability 	The Emperor's Shadow Gifts	loving father figure 
theemperor.jpeg	The Emperor	Rigidity Versus Stability 	The Emperor's Shadow Gifts	leadership abilities, especially at work 
thehierophant.jpeg	The Hierophant	Fanaticism Versus Inner Conscience 	The Hierophant's Shadow	intolerance toward people whose religious viewpoint differs from yours  
thehierophant.jpeg	The Hierophant	Fanaticism Versus Inner Conscience 	The Hierophant's Shadow	being a “groupie,” that is, placing too much emphasis on affiliations, and getting stuck in the rhetoric of a group 
thehierophant.jpeg	The Hierophant	Fanaticism Versus Inner Conscience 	The Hierophant's Shadow	adopting principles without thinking them through or considering what they really mean in your life 
thehierophant.jpeg	The Hierophant	Fanaticism Versus Inner Conscience 	The Hierophant's Shadow	blindly following rules without thinking through the consequences 
thehierophant.jpeg	The Hierophant	Fanaticism Versus Inner Conscience 	The Hierophant's Shadow	being overly concerned with outer appearances 
thehierophant.jpeg	The Hierophant	Fanaticism Versus Inner Conscience 	The Hierophant's Shadow	exhibiting hostility toward the established order while lacking an inner guide 
thehierophant.jpeg	The Hierophant	Fanaticism Versus Inner Conscience 	The Hierophant's Shadow	going against your true beliefs in order to gain acceptance of a group 
thehierophant.jpeg	The Hierophant	Fanaticism Versus Inner Conscience 	The Hierophant's Shadow	blind faith and dogmatism 
thehierophant.jpeg	The Hierophant	Fanaticism Versus Inner Conscience 	The Hierophant's Shadow	spiritual corruption, while repressing the spiritual values of yourself or others 
thehierophant.jpeg	The Hierophant	Fanaticism Versus Inner Conscience 	The Hierophant's Shadow	casting off the religion or traditions of your childhood without first examining them for insight 
thehierophant.jpeg	The Hierophant	Fanaticism Versus Inner Conscience 	The Hierophant's Shadow	being without conscience or principles 
thehierophant.jpeg	The Hierophant	Fanaticism Versus Inner Conscience 	The Hierophant's Shadow Gifts	having an inner conscience that guides you and finding meaning within the established order 
thehierophant.jpeg	The Hierophant	Fanaticism Versus Inner Conscience 	The Hierophant's Shadow Gifts	searching for a spiritual or personal philosophy that is accessible through word, book, lecture, or service 
thehierophant.jpeg	The Hierophant	Fanaticism Versus Inner Conscience 	The Hierophant's Shadow Gifts	having a carefully thought out and studied personal philosophy that guides you rather than rules you 
thehierophant.jpeg	The Hierophant	Fanaticism Versus Inner Conscience 	The Hierophant's Shadow Gifts	conforming to a belief system or group because your Higher Self dictates it 
thehierophant.jpeg	The Hierophant	Fanaticism Versus Inner Conscience 	The Hierophant's Shadow Gifts	informed participation in a group rather than blind obedience 
thehierophant.jpeg	The Hierophant	Fanaticism Versus Inner Conscience 	The Hierophant's Shadow Gifts	finding value in the religion or traditions of your childhood because you have questioned and thoroughly examined them 
thehierophant.jpeg	The Hierophant	Fanaticism Versus Inner Conscience 	The Hierophant's Shadow Gifts	asking your inner teacher for guidance 
thelovers.jpg	The Lovers	Disharmony Versus Responsible Choices 	The Lovers' Shadow	being unable to make a choice, to trust love, or to risk losing control  
thelovers.jpg	The Lovers	Disharmony Versus Responsible Choices 	The Lovers' Shadow	feeling cut off from guidance because you are using only the conscious intellect 
thelovers.jpg	The Lovers	Disharmony Versus Responsible Choices 	The Lovers' Shadow	choosing irresponsibly 
thelovers.jpg	The Lovers	Disharmony Versus Responsible Choices 	The Lovers' Shadow	refusing to look at life's opposites or feeling out of balance 
thelovers.jpg	The Lovers	Disharmony Versus Responsible Choices 	The Lovers' Shadow	cutting yourself off from emotions which can lead to depression 
thelovers.jpg	The Lovers	Disharmony Versus Responsible Choices 	The Lovers' Shadow	infidelity 
thelovers.jpg	The Lovers	Disharmony Versus Responsible Choices 	The Lovers' Shadow	inability to get close in a relationship, and domination or power plays in relationships 
thelovers.jpg	The Lovers	Disharmony Versus Responsible Choices 	The Lovers' Shadow	difficulty recognizing conflicting aspects of yourself or not loving yourself 
thelovers.jpg	The Lovers	Disharmony Versus Responsible Choices 	The Lovers' Shadow	disharmony produced by indecision or poor choices 
thelovers.jpg	The Lovers	Disharmony Versus Responsible Choices 	The Lovers' Shadow	resistance to any type of therapy which might produce integration of conflicting forces 
thelovers.jpg	The Lovers	Disharmony Versus Responsible Choices 	The Lovers' Shadow Gifts	understanding that both the intellect and intuition are important for guidance 
thelovers.jpg	The Lovers	Disharmony Versus Responsible Choices 	The Lovers' Shadow Gifts	making responsible choices, especially in relationships 
thelovers.jpg	The Lovers	Disharmony Versus Responsible Choices 	The Lovers' Shadow Gifts	being able to identify the opposites needed for balance in any situation 
thelovers.jpg	The Lovers	Disharmony Versus Responsible Choices 	The Lovers' Shadow Gifts	becoming aware of the loving nature of your Higher Self 
thelovers.jpg	The Lovers	Disharmony Versus Responsible Choices 	The Lovers' Shadow Gifts	the choice of loving yourself, and being able to risk loving 
thelovers.jpg	The Lovers	Disharmony Versus Responsible Choices 	The Lovers' Shadow Gifts	making a responsible decision about a love relationship 
thelovers.jpg	The Lovers	Disharmony Versus Responsible Choices 	The Lovers' Shadow Gifts	the marriage of mind and spirit 
thelovers.jpg	The Lovers	Disharmony Versus Responsible Choices 	The Lovers' Shadow Gifts	looking to your Higher Self for guidance 
thelovers.jpg	The Lovers	Disharmony Versus Responsible Choices 	The Lovers' Shadow Gifts	the coming together of opposite qualities that leads to wholeness 
thelovers.jpg	The Lovers	Disharmony Versus Responsible Choices 	The Lovers' Shadow Gifts	the ability to negotiate 
thelovers.jpg	The Lovers	Disharmony Versus Responsible Choices 	The Lovers' Shadow Gifts	trusting love 
thelovers.jpg	The Lovers	Disharmony Versus Responsible Choices 	The Lovers' Shadow Gifts	having a relationship based on equality 
thelovers.jpg	The Lovers	Disharmony Versus Responsible Choices 	The Lovers' Shadow Gifts	the moving of your consciousness from your intellect to your heart 
thechariot.jpeg	The Chariot	Conflict Versus Balanced Control 	The Chariot's Shadow	not understanding or controlling the opposites within you  
thechariot.jpeg	The Chariot	Conflict Versus Balanced Control 	The Chariot's Shadow	inflated ego  
thechariot.jpeg	The Chariot	Conflict Versus Balanced Control 	The Chariot's Shadow	prohibitive hubris 
thechariot.jpeg	The Chariot	Conflict Versus Balanced Control 	The Chariot's Shadow	a self-control based in denial 
thechariot.jpeg	The Chariot	Conflict Versus Balanced Control 	The Chariot's Shadow	strength and authority that come from “out there” somewhere and not within 
thechariot.jpeg	The Chariot	Conflict Versus Balanced Control 	The Chariot's Shadow	conflict within and conflict with others 
thechariot.jpeg	The Chariot	Conflict Versus Balanced Control 	The Chariot's Shadow	struggles and battles that seem to have no purpose 
thechariot.jpeg	The Chariot	Conflict Versus Balanced Control 	The Chariot's Shadow	lack of self-control 
thechariot.jpeg	The Chariot	Conflict Versus Balanced Control 	The Chariot's Shadow	not having a sense of direction in your life 
thechariot.jpeg	The Chariot	Conflict Versus Balanced Control 	The Chariot's Shadow	wanting to control others 
thechariot.jpeg	The Chariot	Conflict Versus Balanced Control 	The Chariot's Shadow	unwillingness to consider another view 
thechariot.jpeg	The Chariot	Conflict Versus Balanced Control 	The Chariot's Shadow	charging ahead without doing your research 
thechariot.jpeg	The Chariot	Conflict Versus Balanced Control 	The Chariot's Shadow	inappropriate aggression or force 
thechariot.jpeg	The Chariot	Conflict Versus Balanced Control 	The Chariot's Shadow	making demands without self-reflection 
thechariot.jpeg	The Chariot	Conflict Versus Balanced Control 	The Chariot's Shadow Gifts	solving a present problem using the skills of your past experiences 
thechariot.jpeg	The Chariot	Conflict Versus Balanced Control 	The Chariot's Shadow Gifts	considering a problem from someone else’s viewpoint 
thechariot.jpeg	The Chariot	Conflict Versus Balanced Control 	The Chariot's Shadow Gifts	activism 
thechariot.jpeg	The Chariot	Conflict Versus Balanced Control 	The Chariot's Shadow Gifts	triumph and victory through hard work 
